Id,Date,Customer_Name,Gender,Annual_Income,Phone,Company
1,1/2/2022,Geraldine,Male,13500,8264678,Ford
2,1/2/2022,Gia,Male,1480000,6848189,Dodge
3,1/2/2022,Gianna,Male,1035000,7298798,Cadillac
4,1/2/2022,Giselle,Male,13500,6257557,Toyota
5,1/2/2022,Grace,Male,1465000,7081483,Acura
6,1/2/2022,Guadalupe,Male,850000,7315216,Mitsubishi
7,1/2/2022,Hailey,Male,1600000,7727879,Toyota
8,1/2/2022,Graham,Male,13500,6206512,Mitsubishi
9,1/2/2022,Naomi,Male,815000,7194857,Chevrolet
10,1/2/2022,Grayson,Female,13500,7836892,Ford
11,1/2/2022,Gregory,Male,13500,7995489,Acura
12,1/2/2022,Amar'E,Male,13500,7288103,Nissan
13,1/2/2022,Griffin,Male,885000,6842408,Mercury
14,1/2/2022,Harrison,Male,13500,7558767,BMW
15,1/2/2022,Zainab,Male,722000,7677191,Chrysler
16,1/2/2022,Zara,Male,746000,8431908,Subaru
17,1/2/2022,Zoe,Female,535000,7814646,Hyundai
18,1/2/2022,Zoey,Female,570000,7456650,Cadillac
19,1/2/2022,Aaliyah,Male,685000,7627010,Toyota
20,1/2/2022,Abigail,Male,455000,6736704,Honda
21,1/2/2022,Adrianna,Male,13500,7889827,Toyota
22,1/2/2022,Joshua,Male,2500000,6183219,Infiniti
23,1/2/2022,Marcus,Male,585000,8097778,Audi
24,1/2/2022,Arthur,Male,920000,7959858,Porsche
25,1/2/2022,Lizzie,Male,672000,8570849,Volkswagen
26,1/2/2022,Florian,Male,801250,8520534,Dodge
27,1/2/2022,Cassandre,Female,820000,6362556,Buick
28,1/2/2022,Syrielle,Male,791000,6281210,Chrysler
29,1/2/2022,Sloane,Male,13500,6292720,Chrysler
30,1/2/2022,Sofia,Male,1020000,7698986,Saturn
31,1/2/2022,Sophia,Male,210000,8847858,Mitsubishi
32,1/2/2022,Sophie,Male,750000,8344679,Mercedes-B
33,1/2/2022,Stella,Male,635000,6827044,Honda
34,1/2/2022,Suri,Male,675000,7954038,Honda
35,1/2/2022,Sury,Male,880000,7400390,Jaguar
36,1/3/2022,Haley,Male,13500,7153628,Volvo
37,1/3/2022,Hannah,Male,13500,6125796,Mercury
38,1/3/2022,Haylee,Male,13500,7438037,Buick
39,1/3/2022,Hayley,Male,941000,6837588,Mitsubishi
40,1/3/2022,Harry,Female,13500,7213857,Nissan
41,1/3/2022,Henry,Male,13500,7704004,Chrysler
42,1/3/2022,Hersh,Female,13500,8018700,Volvo
43,1/3/2022,Hershel,Male,967500,6793858,Chevrolet
44,1/3/2022,Aicha,Male,600000,6739543,Mitsubishi
45,1/3/2022,Aisha,Male,575000,6091237,Pontiac
46,1/3/2022,Aissatou,Male,566000,6547535,Mercedes-B
47,1/3/2022,Alana,Male,1250000,8689761,BMW
48,1/3/2022,Chloe,Male,730000,6404807,Acura
49,1/3/2022,Valentine,Male,4060000,7117432,Nissan
50,1/3/2022,Aurore,Male,13500,7836930,Cadillac
51,1/3/2022,Nikita,Male,1180000,7316398,Dodge
52,1/3/2022,Justine,Male,1360000,7680267,Audi
53,1/3/2022,Sylvia,Female,640000,6402878,Mercury
54,1/3/2022,Chloe,Male,615000,7890478,Chevrolet
55,1/3/2022,Tamar,Male,520000,8523869,Acura
56,1/4/2022,Hazel,Male,1876000,8852693,Saturn
57,1/4/2022,Heaven,Male,13500,6444851,Volvo
58,1/4/2022,Heidi,Male,13500,6052630,Mercury
59,1/4/2022,Hershy,Male,890000,8939776,Mercedes-B
60,1/4/2022,Hudson,Male,1800000,7177888,Mercedes-B
61,1/4/2022,Amare,Male,1330000,6139882,Toyota
62,1/4/2022,Alexandria,Male,393000,7181009,Mercedes-B
63,1/4/2022,Alexis,Male,440000,7936565,Mercedes-B
